iter	Passed	Remaining
0	159	15758
1	169	8282
2	177	5755
3	187	4508
4	198	3774
5	209	3281
6	218	2906
7	229	2636
8	240	2432
9	251	2262
10	263	2132
11	275	2020
12	282	1891
13	290	1784
14	297	1683
15	304	1600
16	311	1521
17	318	1452
18	325	1387
19	332	1331
20	340	1279
21	347	1230
22	354	1186
23	404	1282
24	418	1256
25	432	1231
26	454	1229
27	462	1190
28	470	1151
29	478	1117
30	488	1087
31	496	1055
32	504	1024
33	518	1006
34	529	982
35	541	962
36	552	940
37	559	913
38	566	885
39	573	859
40	580	834
41	586	810
42	593	787
43	602	766
44	608	743
45	616	723
46	622	702
47	630	682
48	638	664
49	647	647
50	653	627
51	661	610
52	667	592
53	675	575
54	681	557
55	688	540
56	694	523
57	701	507
58	708	492
59	714	476
60	721	461
61	727	445
62	733	430
63	739	416
64	747	402
65	754	388
66	761	374
67	767	361
68	773	347
69	780	334
70	787	321
71	794	308
72	801	296
73	808	284
74	814	271
75	821	259
76	828	247
77	834	235
78	841	223
79	846	211
80	853	200
81	859	188
82	865	177
83	872	166
84	878	155
85	885	144
86	891	133
87	898	122
88	905	111
89	912	101
90	919	90
91	925	80
92	933	70
93	940	60
94	948	49
95	954	39
96	960	29
97	966	19
98	972	9
99	978	0
