iter	Passed	Remaining
0	164	16238
1	169	8316
2	175	5682
3	179	4311
4	183	3493
5	187	2941
6	191	2546
7	194	2241
8	197	2000
9	201	1812
10	205	1659
11	208	1531
12	212	1420
13	216	1328
14	220	1248
15	224	1178
16	230	1123
17	233	1062
18	238	1015
19	242	968
20	245	923
21	250	887
22	253	849
23	256	813
24	260	780
25	265	754
26	268	726
27	271	699
28	274	672
29	279	651
30	283	630
31	285	607
32	288	585
33	291	566
34	296	549
35	299	531
36	301	514
37	304	496
38	307	480
39	312	468
40	315	453
41	317	438
42	320	424
43	323	412
44	328	401
45	330	388
46	333	375
47	336	364
48	340	354
49	344	344
50	347	333
51	350	323
52	353	313
53	358	305
54	361	295
55	364	286
56	367	276
57	371	268
58	375	261
59	379	252
60	381	244
61	385	236
62	389	229
63	393	221
64	397	214
65	401	206
66	405	199
67	409	192
68	412	185
69	415	178
70	420	171
71	423	164
72	426	157
73	428	150
74	433	144
75	436	137
76	439	131
77	442	124
78	445	118
79	450	112
80	453	106
81	456	100
82	459	94
83	463	88
84	467	82
85	470	76
86	473	70
87	476	65
88	481	59
89	484	53
90	487	48
91	490	42
92	494	37
93	498	31
94	501	26
95	504	21
96	507	15
97	511	10
98	515	5
99	518	0
